pair,entry_z,exit_z,lookback,sl_mult,cal_expR,cal_pctMR,val_expR,val_pctMR,val_n,fwd_expR,fwd_pctMR
LTC/XRP,1.5,0.3,20,1.0,-0.6218,47.1,0.1554,49.6,114,2.0866,49.4
LTC/XRP,1.5,0.3,20,1.5,-0.4146,47.1,0.1035,49.6,114,1.391,49.4
LTC/XRP,1.5,0.3,20,2.0,-0.311,47.1,0.0776,49.6,114,1.0432,49.4
LTC/XRP,1.5,0.3,30,1.0,-0.5294,47.4,1.3981,45.9,91,3.2061,48.9
LTC/XRP,1.5,0.3,30,1.5,-0.353,47.4,0.932,45.9,91,2.1373,48.9
LTC/XRP,1.5,0.3,30,2.0,-0.2648,47.4,0.699,45.9,91,1.603,48.9
LTC/XRP,1.5,0.3,40,1.0,-2.0797,47.5,3.2134,46.3,70,3.9241,49.3
LTC/XRP,1.5,0.3,40,1.5,-1.3865,47.5,2.1422,46.3,70,2.616,49.3
LTC/XRP,1.5,0.3,40,2.0,-1.0399,47.5,1.6066,46.3,70,1.9619,49.3
LTC/XRP,1.5,0.3,60,1.0,-0.7472,46.2,3.7751,46.7,53,4.9346,49.5
LTC/XRP,1.5,0.3,60,1.5,-0.4982,46.2,2.5166,46.7,53,3.2897,49.5
LTC/XRP,1.5,0.3,60,2.0,-0.3737,46.2,1.8874,46.7,53,2.4672,49.5
LTC/XRP,1.5,0.5,20,1.0,-0.038,45.7,0.3783,50.4,122,1.8043,49.5
LTC/XRP,1.5,0.5,20,1.5,-0.0254,45.7,0.2522,50.4,122,1.2028,49.5
LTC/XRP,1.5,0.5,20,2.0,-0.0191,45.7,0.1891,50.4,122,0.9021,49.5
LTC/XRP,1.5,0.5,30,1.0,-0.3587,47.7,1.5879,48.1,96,2.61,46.4
LTC/XRP,1.5,0.5,30,1.5,-0.2392,47.7,1.0585,48.1,96,1.74,46.4
LTC/XRP,1.5,0.5,30,2.0,-0.1795,47.7,0.7939,48.1,96,1.3049,46.4
LTC/XRP,1.5,0.5,40,1.0,-1.5836,48.6,1.9773,47.5,74,3.3029,47.2
LTC/XRP,1.5,0.5,40,1.5,-1.0558,48.6,1.3181,47.5,74,2.2019,47.2
LTC/XRP,1.5,0.5,40,2.0,-0.7919,48.6,0.9885,47.5,74,1.6513,47.2
LTC/XRP,1.5,0.5,60,1.0,-0.0346,46.6,4.2526,46.9,59,4.9181,47.3
LTC/XRP,1.5,0.5,60,1.5,-0.0231,46.6,2.835,46.9,59,3.2786,47.3
LTC/XRP,1.5,0.5,60,2.0,-0.0174,46.6,2.1262,46.9,59,2.4589,47.3
LTC/XRP,1.5,0.8,20,1.0,1.6433,47.5,1.514,48.4,145,2.0343,48.3
LTC/XRP,1.5,0.8,20,1.5,1.0955,47.5,1.0093,48.4,145,1.3561,48.3
LTC/XRP,1.5,0.8,20,2.0,0.8216,47.5,0.7569,48.4,145,1.017,48.3
LTC/XRP,1.5,0.8,30,1.0,-1.4597,48.6,1.9719,50.5,110,2.0709,48.8
LTC/XRP,1.5,0.8,30,1.5,-0.9732,48.6,1.3145,50.5,110,1.3805,48.8
LTC/XRP,1.5,0.8,30,2.0,-0.73,48.6,0.9859,50.5,110,1.0353,48.8
LTC/XRP,1.5,0.8,40,1.0,-1.0929,45.6,1.3023,47.6,82,2.1876,47.4
LTC/XRP,1.5,0.8,40,1.5,-0.7287,45.6,0.8681,47.6,82,1.4584,47.4
LTC/XRP,1.5,0.8,40,2.0,-0.5465,45.6,0.6511,47.6,82,1.0937,47.4
LTC/XRP,1.5,0.8,60,1.0,-1.1623,47.5,3.0368,47.5,65,2.9873,51.2
LTC/XRP,1.5,0.8,60,1.5,-0.7749,47.5,2.0244,47.5,65,1.9915,51.2
LTC/XRP,1.5,0.8,60,2.0,-0.5813,47.5,1.5183,47.5,65,1.4936,51.2
LTC/XRP,2.0,0.3,20,1.0,-2.3938,47.4,0.69,48.9,82,2.5942,49.3
LTC/XRP,2.0,0.3,20,1.5,-1.596,47.4,0.46,48.9,82,1.7294,49.3
LTC/XRP,2.0,0.3,20,2.0,-1.197,47.4,0.3449,48.9,82,1.297,49.3
LTC/XRP,2.0,0.3,30,1.0,-0.4101,47.3,2.0345,48.4,62,3.6535,49.9
LTC/XRP,2.0,0.3,30,1.5,-0.2735,47.3,1.3563,48.4,62,2.4356,49.9
LTC/XRP,2.0,0.3,30,2.0,-0.2052,47.3,1.0172,48.4,62,1.8266,49.9
LTC/XRP,2.0,0.3,40,1.0,-0.5194,45.8,4.3979,47.3,52,3.9926,47.9
LTC/XRP,2.0,0.3,40,1.5,-0.3463,45.8,2.9319,47.3,52,2.6617,47.9
LTC/XRP,2.0,0.3,40,2.0,-0.2598,45.8,2.1989,47.3,52,1.9962,47.9
LTC/XRP,2.0,0.3,60,1.0,-3.0989,44.7,4.0649,49.3,34,5.9986,48.0
LTC/XRP,2.0,0.3,60,1.5,-2.066,44.7,2.7099,49.3,34,3.999,48.0
LTC/XRP,2.0,0.3,60,2.0,-1.5495,44.7,2.0324,49.3,34,2.9992,48.0
LTC/XRP,2.0,0.5,20,1.0,-1.7617,46.6,1.0002,49.2,86,1.886,49.5
LTC/XRP,2.0,0.5,20,1.5,-1.1746,46.6,0.6667,49.2,86,1.2572,49.5
LTC/XRP,2.0,0.5,20,2.0,-0.881,46.6,0.5,49.2,86,0.9429,49.5
LTC/XRP,2.0,0.5,30,1.0,-0.0885,48.2,1.5571,46.5,64,3.2655,50.4
LTC/XRP,2.0,0.5,30,1.5,-0.0591,48.2,1.038,46.5,64,2.177,50.4
LTC/XRP,2.0,0.5,30,2.0,-0.0444,48.2,0.7784,46.5,64,1.6327,50.4
LTC/XRP,2.0,0.5,40,1.0,-0.0853,45.8,1.4928,47.2,52,3.8401,48.2
LTC/XRP,2.0,0.5,40,1.5,-0.0569,45.8,0.9952,47.2,52,2.56,48.2
LTC/XRP,2.0,0.5,40,2.0,-0.0428,45.8,0.7463,47.2,52,1.92,48.2
LTC/XRP,2.0,0.5,60,1.0,-1.7206,47.3,5.0203,46.7,38,5.9539,48.6
LTC/XRP,2.0,0.5,60,1.5,-1.1471,47.3,3.3468,46.7,38,3.9692,48.6
LTC/XRP,2.0,0.5,60,2.0,-0.8604,47.3,2.51,46.7,38,2.9768,48.6
LTC/XRP,2.0,0.8,20,1.0,0.8363,49.1,1.5141,48.5,93,2.0641,49.1
